Title;Desc;Type;BodyPart;Equipment;Level;Rating;VideoLink
Barbell roll-out;The barbell roll-out is an abdominal exercise that utilizes a barbell in the place of an ab roller. It is best performed with a barbell that has rotating collars, and is considered more difficult than other ab roller variations. Many lifters may not be able to perform a single rep at first, but once they can perform these for reps, they'll be rewarded with a seriously strong core.;Strength;Abdominals;Barbell;Intermediate;8.9;https://www.youtube.com/watch?v=s_elM3ciI8g&pp=ygUQQmFyYmVsbCByb2xsLW91dA%3D%3D
Barbell Ab Rollout - On Knees;The barbell roll-out is an abdominal exercise that utilizes a barbell in the place of an ab roller. It is best performed with a barbell that has rotating collars, and is considered more difficult than other ab roller variations. Many lifters may not be able to perform a single rep at first, but once they can perform these for reps, they'll be rewarded with a seriously strong core.;Strength;Abdominals;Barbell;Intermediate;8.9;https://www.youtube.com/watch?v=MW8pIlUhkBE&pp=ygUdQmFyYmVsbCBBYiBSb2xsb3V0IC0gT24gS25lZXM%3D
Decline bar press sit-up;The decline bar press sit-up is a weighted core exercise targeting the abdominal muscles, particularly the lower abs. It also challenges the shoulders and upper back to move the weight. Weighted sit-up variations are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of the core-focused portion of a workout.;Strength;Abdominals;Barbell;Intermediate;8.5;https://www.youtube.com/watch?v=K95OZFpJKuw&pp=ygUYRGVjbGluZSBiYXIgcHJlc3Mgc2l0LXVw
Bench barbell roll-out;The bench barbell roll-out is a challenging exercise targeting the abdominals. It is similar to using an ab roller, but using a barbell allows for a wider grip. Placing the knees on a bench rather than the floor makes the move more difficult by increasing the challenge to the upper body.;Strength;Abdominals;Barbell;Beginner;8.5;https://www.youtube.com/watch?v=RVGYevyytlc&pp=ygUWQmVuY2ggYmFyYmVsbCByb2xsLW91dA%3D%3D
Barbell Side Bend;The Barbell Side Bend is a standing exercise that targets the obliques, the muscles on the sides of the waist. With a barbell held across the shoulders or behind the head, the individual lowers their body to one side as far as comfortable, feeling a stretch in the obliques. The movement is then repeated on the opposite side. This exercise is great for improving core stability and can be performed with different weights to increase the intensity.;Strength;Abdominals;Barbell;Beginner;8.3;https://www.youtube.com/watch?v=CnsLmYb6tTw&pp=ygURQmFyYmVsbCBTaWRlIEJlbmQ%3D
Seated bar twist;The seated bar twist is a core exercise meant to strengthen the obliques. It is often performed for high reps with relatively light weight, such as an empty barbell, a lightweight fixed-weight bar, or even a PVC pipe. It can be performed during a workout, at the end of a workout, or outside of the gym to build core strength and resiliency.;Strength;Abdominals;Barbell;Intermediate;8.2;https://www.youtube.com/watch?v=cfUXRs1PylY&pp=ygUQU2VhdGVkIGJhciB0d2lzdA%3D%3D
Advanced Kettlebell Windmill;The advanced kettlebell windmill is a unilateral exercise that targets the core, shoulders, hips, and hamstrings. To perform this exercise, stand with your feet shoulder-width apart while holding a kettlebell in your right hand. Keep your right arm extended overhead while lowering your torso towards the floor with your left arm reaching towards the ground. Return to standing position and repeat on the opposite side. This exercise requires balance and stability, making it a challenging yet effective full-body workout.;Strength;Abdominals;Kettlebells;Beginner;4.7;https://www.youtube.com/watch?v=H8fmeaq8ewI&pp=ygUcQWR2YW5jZWQgS2V0dGxlYmVsbCBXaW5kbWlsbA%3D%3D
Kettlebell Windmill;The single-kettlebell windmill is a dynamic kettlebell exercise emphasizing core strength and shoulder and hip mobility and stability. It is often used as a functional warm-up or for multi-directional strength work. It doesn't work as well in a metcon or conditioning setting, and shouldn't be performed under intense fatigue.;Strength;Abdominals;Kettlebells;Intermediate;8.2;https://www.youtube.com/watch?v=q8K_Wg8OuV4&pp=ygUTS2V0dGxlYmVsbCBXaW5kbWlsbA%3D%3D
Kettlebell Pass Between The Legs;The Kettlebell Pass Between The Legs is a compound exercise that targets the lower body, core, and upper back. To perform the exercise, stand with your feet shoulder-width apart, holding the kettlebell with both hands in front of you. Keeping your back straight and core engaged, swing the kettlebell back between your legs, then pass it to your other hand and swing it forward to chest height. Repeat, passing the kettlebell between your legs with each swing. This exercise helps improve explosive power, flexibility, and coordination.;Strength;Abdominals;Kettlebells;Beginner;7.7;https://www.youtube.com/watch?v=dPqGBoegbj8&pp=ygUgS2V0dGxlYmVsbCBQYXNzIEJldHdlZW4gVGhlIExlZ3M%3D
Dumbbell V-Sit Cross Jab;The dumbbell V-sit cross jab is a hybrid movement that trains the abdominal and shoulder muscles simultaneously. It can address multiple muscle groups in a time-efficient muscle-building or circuit-style workout, while also providing a cardiovascular challenge.;Strength;Abdominals;Dumbbell;Intermediate;8.2;https://www.youtube.com/watch?v=k4vFGA7qOb4&pp=ygUYRHVtYmJlbGwgVi1TaXQgQ3Jvc3MgSmFi
Dumbbell spell caster;The dumbbell spell caster is an exercise that primarily targets the abdominal muscles such as the obliques. However, it also works shoulders, back, hips, and legs, and demands all of those muscles work together in a coordinated motion. It is usually performed with relatively light weights for moderate to high reps, at least 8-12 reps per side. Make sure to only use a weight you can control.;Strength;Abdominals;Dumbbell;Beginner;9.3;https://www.youtube.com/watch?v=fxL497_e6WI&pp=ygUVRHVtYmJlbGwgc3BlbGwgY2FzdGVy
Dumbbell side bend;The dumbbell side bend is a popular exercise for targeting the oblique muscles of the abdomen. It is usually performed for relatively high reps, at least 8-12 reps per set or more. It can be performed one side at a time or alternating sides.;Strength;Abdominals;Dumbbell;Intermediate;9.3;https://www.youtube.com/watch?v=dL9ZzqtQI5c&pp=ygUSRHVtYmJlbGwgc2lkZSBiZW5k
Landmine twist;The landmine twist is a rotational abdominal movement performed using an angled barbell anchored at floor level in a landmine device. It can also be performed by sticking a barbell in the corner of a room, preferably in a towel to protect the walls. It targets the deep muscles of the core, including both the obliques and the transversus abdominis. It can be done fast or slow, for time or reps, either in traditional muscle-focused rep ranges such as 8-12 reps per side or for higher rep ranges.;Strength;Abdominals;Other;Intermediate;8.6;https://www.youtube.com/watch?v=QDakeCOBdDE&pp=ygUOTGFuZG1pbmUgdHdpc3Q%3D
Suspended ab fall-out;"The suspended ab fall-out is a dynamic abdominal exercise utilizing a suspension strap system or gymnastic rings. It is similar in form to an ab roller, but can more easily be scaled to be more or less difficult. It targets the muscles of the rectus abdominis or ""six-pack"" muscles, as well as the deep core muscles. It can be trained for low reps for strength or higher reps for muscle definition.";Strength;Abdominals;Other;Intermediate;9.5;https://www.youtube.com/watch?v=0FAMdxWgFnA&pp=ygUVU3VzcGVuZGVkIGFiIGZhbGwtb3V0
